 theta     data(mb/sr)  error(mb/sr)
   7.5       16610.0        1660.0
   8.5       11660.0        1260.0
   9.5        8180.0         790.0
  10.5        5079.0         521.0
  11.6        3174.0         381.0
  12.6        1468.0         204.0
  13.6         690.0         114.0
  14.6         514.4         136.0
  15.6         549.2         134.0
  16.6         776.7         147.0
  17.6         982.0         169.0
  18.6        1185.0         202.0
  19.1        1254.0         296.0
  19.6        1152.0         234.0
  21.1        1114.0         181.0
  23.1         516.5          65.0
  25.1         409.2          49.3
  27.1         303.2          36.1
  29.1         291.2          29.1
  31.2         320.0          31.1
  33.2         266.0          26.0
  35.2         176.4          18.2
  37.2         106.3          12.1
  39.2          89.43         10.6
  41.2          86.20         10.7
  43.2          70.09          9.75
  45.2          53.98          8.48
