theta      data(mb/sr) error(mb/sr)
 10.200    0.69500E+06 51000.
 12.750    0.28600E+06 22000.
 15.300    0.13800E+06 11000.
 17.850     71900.     5600.0
 20.400     44400.     3600.0
 22.950     27100.     2300.0
 25.500     17500.     300.00
 28.040     11800.     200.00
 30.590     8100.0     180.00
 33.130     5920.0     140.00
 35.670     4730.0     110.00
 38.220     3820.0     100.00
 40.760     3060.0     40.000
 43.290     2610.0     70.000
 45.830     2050.0     20.000
 48.370     1660.0     40.000
 50.960     1290.0     10.000
 53.430     1040.0     20.000
 55.960     760.00     10.000
 58.490     614.00     8.0000
 61.020     461.00     5.0000
 63.540     364.00     5.0000
 66.070     270.00     5.0000
 68.590     203.00     6.0000
 71.100     169.00     2.0000
 73.620     133.00     4.0000
 76.140     105.00     2.0000
 78.650     81.700     3.3000
 81.160     64.900    0.70000
 83.670     51.500     1.2000
 86.170     40.800     1.4000
 88.670     34.200    0.80000
 91.180     26.900    0.40000
 93.670     22.100    0.30000
 96.170     18.300    0.30000
 98.670     15.100    0.30000
 101.16     12.300    0.50000
 103.65     10.400    0.20000
 106.14     8.8200    0.16000
 108.62     7.2300    0.33000
 111.10     6.3600    0.10000
 113.59     5.3700    0.17000
 116.07     4.0300    0.80000E-01
 118.54     3.6300    0.60000E-01
 121.02     3.0600    0.70000E-01
 123.49     2.7500    0.70000E-01
 125.96     2.4000    0.60000E-01
 128.43     2.0900    0.70000E-01
 130.90     1.8700    0.50000E-01
 133.37     1.5500    0.40000E-01
 135.81     1.3900    0.40000E-01
 138.29     1.3000    0.40000E-01
 140.76     1.2000    0.60000E-01
 143.22     1.1200    0.50000E-01
 145.67    0.95600    0.32000E-01
 148.13    0.87800    0.25000E-01
 150.59    0.82400    0.25000E-01
 153.04    0.78300    0.23000E-01
 155.50    0.70500    0.23000E-01
 157.95    0.66100    0.21000E-01
 160.40    0.65900    0.57000E-01
 162.85    0.62400    0.30000E-01
 165.30    0.61400    0.35000E-01
 167.75    0.59900    0.29000E-01
 170.20    0.58700    0.28000E-01
 172.65    0.61400    0.30000E-01
 175.10    0.58900    0.37000E-01
