#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
   0.000      0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   0.100      5.46668E-03  4.90173E-05  3.40448E-07  6.69475E-03  7.74995E-05  6.36899E-07  7.48436E-03  1.02517E-04  9.55315E-07
   0.200      1.09314E-02  1.96034E-04  2.72309E-06  1.33839E-02  3.09897E-04  5.09374E-06  1.49588E-02  4.09876E-04  7.63956E-06
   0.300      1.63921E-02  4.40943E-04  9.18767E-06  2.00617E-02  6.96890E-04  1.71832E-05  2.24134E-02  9.21498E-04  2.57669E-05
   0.400      2.18470E-02  7.83568E-04  2.17690E-05  2.67225E-02  1.23797E-03  4.07036E-05  2.98382E-02  1.63642E-03  6.10218E-05
   0.500      2.72939E-02  1.22366E-03  4.24945E-05  3.33608E-02  1.93245E-03  7.94315E-05  3.72235E-02  2.55330E-03  1.19045E-04
   0.600      3.27309E-02  1.76090E-03  7.33818E-05  3.99710E-02  2.77940E-03  1.37115E-04  4.45595E-02  3.67041E-03  2.05417E-04
   0.700      3.81562E-02  2.39491E-03  1.16436E-04  4.65475E-02  3.77773E-03  2.17465E-04  5.18363E-02  4.98565E-03  3.25646E-04
   0.800      4.35676E-02  3.12521E-03  1.73649E-04  5.30847E-02  4.92614E-03  3.24150E-04  5.90444E-02  6.49654E-03  4.85153E-04
   0.900      4.89634E-02  3.95130E-03  2.46993E-04  5.95771E-02  6.22314E-03  4.60791E-04  6.61743E-02  8.20023E-03  6.89256E-04
   1.000      5.43414E-02  4.87256E-03  3.38422E-04  6.60193E-02  7.66703E-03  6.30948E-04  7.32165E-02  1.00935E-02  9.43159E-04
   1.100      5.96999E-02  5.88834E-03  4.49870E-04  7.24059E-02  9.25593E-03  8.38120E-04  8.01616E-02  1.21729E-02  1.25193E-03
   1.200      6.50369E-02  6.99789E-03  5.83244E-04  7.87315E-02  1.09878E-02  1.08574E-03  8.70006E-02  1.44343E-02  1.62051E-03
